N_FORAGE_TYPES,FORAGE_TYPE_NAME,TOTAL_AREA_BY_FORAGE_TYPE,AREA_UNIT,TIME_VECTOR_FORAGE_TYPE,forage_type_avail_vector1,forage_type_avail_vector2,forage_type_avail_vector3,forage_type_avail_vector4,forage_type_avail_vector5,forage_type_avail_vector6,forage_type_avail_vector7,forage_type_avail_vector8,forage_type_avail_vector9,forage_type_avail_vector10,forage_type_avail_vector11,forage_type_avail_vector12,forage_type_avail_vector13,forage_type_avail_vector14,forage_type_avail_vector15,forage_type_avail_vector16,forage_type_avail_vector17,forage_type_avail_vector18,forage_type_avail_vector19,forage_type_avail_vector20,forage_type_avail_vector21,forage_type_avail_vector22,forage_type_avail_vector23,forage_type_avail_vector24,forage_type_avail_vector25,forage_type_avail_vector26,forage_type_avail_vector27,forage_type_avail_vector28,forage_type_avail_vector29,forage_type_avail_vector30,forage_type_avail_vector31,forage_type_avail_vector32,forage_type_avail_vector33,forage_type_avail_vector34,forage_type_avail_vector35,forage_type_avail_vector36,forage_type_avail_vector37,forage_type_avail_vector38,forage_type_avail_vector39,forage_type_avail_vector40,forage_type_avail_vector41,forage_type_avail_vector42,forage_type_avail_vector43,forage_type_avail_vector44,forage_type_avail_vector45,forage_type_avail_vector46,forage_type_avail_vector47,forage_type_avail_vector48,forage_type_avail_vector49,forage_type_avail_vector50,forage_type_avail_vector51,forage_type_avail_vector52,forage_type_avail_vector53,forage_type_avail_vector54,forage_type_avail_vector55,forage_type_avail_vector56,forage_type_avail_vector57,forage_type_avail_vector58,forage_type_avail_vector59,forage_type_avail_vector60,forage_type_avail_vector61,forage_type_avail_vector62,forage_type_avail_vector63,forage_type_avail_vector64,forage_type_avail_vector65,forage_type_avail_vector66,forage_type_avail_vector67,forage_type_avail_vector68,forage_type_avail_vector69,forage_type_avail_vector70,forage_type_avail_vector71,forage_type_avail_vector72,forage_type_avail_vector73,forage_type_avail_vector74,forage_type_avail_vector75,forage_type_avail_vector76,forage_type_avail_vector77,forage_type_avail_vector78,forage_type_avail_vector79,forage_type_avail_vector80,forage_type_avail_vector81,forage_type_avail_vector82,forage_type_avail_vector83,forage_type_avail_vector84,forage_type_avail_vector85,forage_type_avail_vector86,forage_type_avail_vector87,forage_type_avail_vector88,forage_type_avail_vector89,forage_type_avail_vector90,forage_type_avail_vector91,forage_type_avail_vector92,forage_type_avail_vector93,forage_type_avail_vector94,forage_type_avail_vector95,forage_type_avail_vector96,forage_type_avail_vector97,forage_type_avail_vector98,forage_type_avail_vector99,forage_type_avail_vector100,forage_type_avail_vector101,forage_type_avail_vector102,forage_type_avail_vector103,forage_type_avail_vector104,forage_type_avail_vector105,forage_type_avail_vector106,forage_type_avail_vector107,forage_type_avail_vector108,forage_type_avail_vector109,forage_type_avail_vector110,forage_type_avail_vector111,forage_type_avail_vector112,forage_type_avail_vector113,forage_type_avail_vector114,forage_type_avail_vector115,forage_type_avail_vector116,forage_type_avail_vector117,forage_type_avail_vector118,forage_type_avail_vector119,forage_type_avail_vector120,forage_type_avail_vector121,forage_type_avail_vector122,forage_type_avail_vector123,forage_type_avail_vector124,FOOD_BIOMASS,FOOD_BIOMASS_UNCERTAINTY,METABOLIZABLE_ENERGY,METABOLIZABLE_ENERGY_UNCERTAINTY,ENERGY_UNIT,RATE_OF_CHANGE_RESERVE,RATE_OF_CHANGE_AVAILABLE,CARRYING_CAPACITY,N_FORAGING_GUILDS,FORAGING_GUILD_NAME,forage_type_pref1,TIME_VECTOR_POP,population_vector1,TIME_VECTOR_DEE,DEE_guild1,DEE_UNCERTAINTY,POP_UNCERTAINTY
,KY_Federal_millet,14.4684557219796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,0.15,2610,0.05,,-0.004777777,-0.004777777,,,,0.00806451612903226,,,,,,
,KY_Federal_moist-soil,74.6298839841534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.00806451612903226,,,,,,
,KY_Private_corn,181.712926663823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,0.15,3670,0.05,,-0.00465,-0.00465,,,,0.00806451612903226,,,,,,
,KY_Private_soybeans,1391.86986971023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.15,2650,0.05,,-0.01083,-0.01083,,,,0.00806451612903226,,,,,,
,KY_Private_woody wetlands,5048.84730492235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.429,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.00806451612903226,,,,,,
,KY_State_corn,74.1175436748534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5547.89073184843,0.15,3670,0.05,,-0.00465,-0.00465,,,,0.00806451612903226,,,,,,
,KY_State_milo,5.05881130276395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3811,0.15,3490,0.05,,-0.003222222,-0.003222222,,,,0.00806451612903226,,,,,,
,KY_State_moist-soil,315.617082642702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.00806451612903226,,,,,,
,KY_State_open-aquatic,350.179205617384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0.15,2868,0.05,,0,0,,,,0.00806451612903226,,,,,,
,KY_State_shrub swamp,276.699120820369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.15,0,0.05,,0,0,,,,0.00806451612903226,,,,,,
,KY_State_soybeans,25.2892107571931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.15,2650,0.05,,-0.01083,-0.01083,,,,0.00806451612903226,,,,,,
,KY_State_woody wetlands,143.007334625538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.619,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.00806451612903226,,,,,,
,LA_Federal_milo,421.319822357815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2936.88954565345,0.15,3490,0.05,,-0.003222222,-0.003222222,,,,0.00806451612903226,,,,,,
,LA_Federal_moist-soil,1031.25815496009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.00806451612903226,,,,,,
,LA_Federal_open-aquatic,441.367848958766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0.15,2868,0.05,,0,0,,,,0.00806451612903226,,,,,,
,LA_Federal_rice,133.657298468567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0.15,3340,0.05,,-0.00213,-0.00213,,,,0.00806451612903226,,,,,,
,LA_Federal_shrub swamp,203.228573788066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.15,0,0.05,,0,0,,,,0.00806451612903226,,,,,,
,LA_Federal_soybeans,211.048925293301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.15,2650,0.05,,-0.01083,-0.01083,,,,0.00806451612903226,,,,,,
,LA_Federal_woody wetlands,1290.53542965862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.2872842013979,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.00806451612903226,,,,,,
,LA_Other_moist-soil,23.7888666576544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.00806451612903226,,,,,,
,LA_Private_corn,720.497567051401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,0.15,3670,0.05,,-0.00465,-0.00465,,,,0.00806451612903226,,,,,,
,LA_Private_millet,143.520431065713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,0.15,2610,0.05,,-0.004777777,-0.004777777,,,,0.00806451612903226,,,,,,
,LA_Private_milo,244.189868752272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,0.15,3490,0.05,,-0.003222222,-0.003222222,,,,0.00806451612903226,,,,,,
,LA_Private_moist-soil,3368.75243169759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.00806451612903226,,,,,,
,LA_Private_rice,14804.3507633734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0.15,3340,0.05,,-0.00213,-0.00213,,,,0.00806451612903226,,,,,,
,LA_Private_sorghum,52.6476968400836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,0.15,3490,0.05,,-0.003222222,-0.003222222,,,,0.00806451612903226,,,,,,
,LA_Private_soybeans,13757.3475344086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.15,2650,0.05,,-0.01083,-0.01083,,,,0.00806451612903226,,,,,,
,LA_Private_woody wetlands,114798.27656713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.429,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.00806451612903226,,,,,,
,LA_Private_wrp,5035.78851407829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.15,2470,0.05,,-0.000544175,-0.000544175,,,,0.00806451612903226,,,,,,
,LA_State_milo,121.786922779045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,0.15,3490,0.05,,-0.003222222,-0.003222222,,,,0.00806451612903226,,,,,,
,LA_State_moist-soil,2803.58540772505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.00806451612903226,,,,,,
,LA_State_open-aquatic,10722.6207352074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0.15,2868,0.05,,0,0,,,,0.00806451612903226,,,,,,
,LA_State_shrub swamp,813.356095775497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.15,0,0.05,,0,0,,,,0.00806451612903226,,,,,,
,LA_State_soybeans,224.529740730375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.15,2650,0.05,,-0.01083,-0.01083,,,,0.00806451612903226,,,,,,
,LA_State_woody wetlands,5644.69491240752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9530159978917,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.00806451612903226,,,,,,
,MO_Federal_millet,26.1748486656518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,0.15,2610,0.05,,-0.004777777,-0.004777777,,,,0.00806451612903226,,,,,,
,MO_Federal_moist-soil,295.303795552834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.00806451612903226,,,,,,
,MO_Federal_open-aquatic,1367.59845304818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0.15,2868,0.05,,0,0,,,,0.00806451612903226,,,,,,
,MO_Federal_shrub swamp,29.4453749437885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.15,0,0.05,,0,0,,,,0.00806451612903226,,,,,,
,MO_Federal_woody wetlands,2175.50367855883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.476844730637,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.00806451612903226,,,,,,
,MO_Other_woody wetlands,10.8931903638078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.049,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.00806451612903226,,,,,,
,MO_Private_corn,579.722269791459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,0.15,3670,0.05,,-0.00465,-0.00465,,,,0.00806451612903226,,,,,,
,MO_Private_rice,10166.298757286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0.15,3340,0.05,,-0.00213,-0.00213,,,,0.00806451612903226,,,,,,
,MO_Private_sorghum,13.5957549738426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,0.15,3490,0.05,,-0.003222222,-0.003222222,,,,0.00806451612903226,,,,,,
,MO_Private_soybeans,11708.1129288488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.15,2650,0.05,,-0.01083,-0.01083,,,,0.00806451612903226,,,,,,
,MO_Private_woody wetlands,7309.63950071993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.429,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.00806451612903226,,,,,,
,MO_State_corn,227.653836245804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3278.02906228009,0.15,3670,0.05,,-0.00465,-0.00465,,,,0.00806451612903226,,,,,,
,MO_State_milo,14.9436993246996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3811,0.15,3490,0.05,,-0.003222222,-0.003222222,,,,0.00806451612903226,,,,,,
,MO_State_moist-soil,1959.64175496989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.00806451612903226,,,,,,
,MO_State_open-aquatic,879.711055950283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0.15,2868,0.05,,0,0,,,,0.00806451612903226,,,,,,
,MO_State_soybeans,242.647761492009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.340556589885,0.15,2650,0.05,,-0.01083,-0.01083,,,,0.00806451612903226,,,,,,
,MO_State_woody wetlands,1036.2497596538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2393956048432,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.00806451612903226,,,,,,
,MS_Federal_corn,17.9626074112196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5716,0.15,3670,0.05,,-0.00465,-0.00465,,,,0.00806451612903226,,,,,,
,MS_Federal_millet,236.043760201524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444.83799959506,0.15,2610,0.05,,-0.004777777,-0.004777777,,,,0.00806451612903226,,,,,,
,MS_Federal_milo,643.99309248347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481.11711238499,0.15,3490,0.05,,-0.003222222,-0.003222222,,,,0.00806451612903226,,,,,,
,MS_Federal_moist-soil,1759.73830604241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.00806451612903226,,,,,,
,MS_Federal_open-aquatic,314.407101627987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0.15,2868,0.05,,0,0,,,,0.00806451612903226,,,,,,
,MS_Federal_shrub swamp,332.551015234699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.15,0,0.05,,0,0,,,,0.00806451612903226,,,,,,
,MS_Federal_soybeans,171.033942765506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.909211335604,0.15,2650,0.05,,-0.01083,-0.01083,,,,0.00806451612903226,,,,,,
,MS_Federal_woody wetlands,3085.83140541209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3075982336544,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.00806451612903226,,,,,,
,MS_Other_milo,2.60610978996142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3811,0.15,3490,0.05,,-0.003222222,-0.003222222,,,,0.00806451612903226,,,,,,
,MS_Other_moist-soil,5.28060387803282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.00806451612903226,,,,,,
,MS_Private_corn,1673.26862752868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.615420266222,0.15,3670,0.05,,-0.00465,-0.00465,,,,0.00806451612903226,,,,,,
